candidate,phrase,type,post_count,example_1,example_2,example_3
Harris,#harris2024,hashtag,52,#Harris2024,"#Kamala #KamalaHarris #Harris-Walz #Harris2024 #Election2024 

I am woman, hear me roar.","#SNL #Harris2024 #Kamala #KamalaHarris #Election2024 

OMG OMG OMG"
Harris,#kamalaharris2024,hashtag,47,"We Will Not Go Back!
#KamalaHarris2024
@anonymous	@anonymous
@anonymous	@anonymous
@anonymous @anonymous	@anonymous
@anonymous	@anonymous
@anonymous","#KamalaHarris2024 
#VoteBlue2024ProtectWomensRights 
#VoteBlueDownTheBallot","We Will NOT Go Back!
#KamalaHarris2024
@anonymous	@anonymous
@anonymous	@anonymous
@anonymous	@anonymous
@anonymous	@anonymous
@anonymous"
Trump,#resisttrump,hashtag,39,"Just the way any strongman around the world likes it, state run media has now come to America 👇

#ResistTrump",#Resistance #ResistTrump #AntiFA,#Resistance #ResistTrump #AntiFA
Harris,#kamala2024,hashtag,32,"The voters deserve to see the split screen that exists in this race, on a debate stage, so I'm ready LET'S GO 
- #KamalaHarris
Wahhhhh - #DonaldTrump

Your Video: https://anonymous #kamala2024 #kamalaharris2024 #harris2024","This is art. The kinda rapid response, no holds-barred, messaging & mockery I've wanted/called for from Dem presidential campaigns forever. F'ING OUTSTANDING
#kamalaharris #kamala2024","Madam President 💙💙💙💙

#kamalaharris #yeswekam #kamalaharris2024 #hope #kamala47
#kamala2024 #madampresident #wearenotgoingback #timwalz #harriswalz2024 #election2024 #democratsdeliver #democracyontheballot #votebluenomatterwho #yourvotematters #democrats #vote2024"
Trump,#traitortrump,hashtag,29,#TraitorTrump,#TraitorTrump,#TraitorTrump
Trump,#trumpisunfit,hashtag,26,"If you are voting for Donald Trump don’t tell me you support the women in your life.

You do not. 

#VoteHarrisWalz #TrumpIsUnfit

https://anonymous","We need a laugh-then we get to work! 😂

#VoteHarrisWalz #TrumpIsUnfit","I don’t hate Donald Trump because he’s a Republican. 

I hate Donald Trump because he’s a lying, racist, xenophobic, homophobic, transphobic, misogynistic, narcissistic steaming pile of sh*t! 

#VoteHarrisWalz2024 #TrumpIsUnfit"
Trump,#trumpcheated,hashtag,23,"Someone did a “make it a quote” with my response to Joe Biden inviting Donald Trump to the White House, so that’s kind of handy #TrumpCheated","SAY IT WITH US 

#TrumpCheated","#TrumpCheated

Get this...
In PA, Harris got 70%+ of the EARLY Latino vote...
but the election day vote shows her getting half that.
This thing reeks like a rotten fish in the hot sun."
Trump,#dumptrump,hashtag,22,#Resist #DumpTrump #FAFO,#FAFO #AdamMockler #DumpTrump #,#Resist #DumpTrump #FAFO
Harris,#harris-walz,hashtag,21,"#Kamala #KamalaHarris #Harris-Walz #Harris2024 #Election2024 

I am woman, hear me roar.",#Kamala #KamalaHarris #Harris-Walz #Harris2024 #Election2024 #Law #Crime #Immunity #Trump,#Polling #Kamala #KamalaHarris #Harris-Walz #Harris2024 #Election2024
Trump,#trumpisunfitforoffice,hashtag,21,"I'm 63 years old, and will never forgive Trump & Republicans from taking this country from the ""greatest generation"" to the ""shameless generation.""
#ProudBlue Thanks Trump #TrumpIsUnfitForOffice #TheTurdReich #DoNotObeyInAdvance #ResistTrump",#TrumpIsUnfitForOffice,#TrumpIsUnfitForOffice
Trump,#trumpsucks,hashtag,20,"This right here…
#trumpsucks",MORE TRUE TODAY THAN EVER! #TRUMPSUCKS,MORE TRUE TODAY THAN EVER! #TRUMPSUCKS
Trump,#trumpappointments,hashtag,16,"You ENDORSED the ""Trump Train"" @anonymous
What did you think would happen, you fascist-supporting MFers, except CHAOS?
Rupert Murdoch's ""buyer's remorse"" is too late.
There's much worse to come than @anonymous

#TrumpAppointments #RFKJr

https://anonymous","The Remake of Entourage is ass!

#ChrisWright #TrumpAdministration
#TrumpAppointments #TrumpGoverment #DOGE #Dogecoin #ElonMusk #VivekRamaswamy #PeteHegseth #KarolineLeavitt #MattGaetz #Trump #Entourage","The worst McDonald's Commercial, ever! 
#ChrisWright
#TrumpAppointments #TrumpGoverment #DOGE #Dogecoin #ElonMusk #Elonia #VivekRamaswamy #PeteHegseth #KarolineLeavitt #MattGaetz #Trump"
Harris,#bidenharris2024,hashtag,15,"Thats right, MAGA fvckas! #BidenHarris2024 🇺🇸","Thank God President Biden is in charge of the nuclear launch codes. 
The other guy would try to sell them!
#BidenHarris2024","HelloHello Bluesky!
#VoteBlueToSaveDemocracy 
#BidenHarris2024
#GOPHasGotToGo"
Harris,#voteharriswalz2024,hashtag,13,Happy Birthday VP Kamala Harris! #VoteHarrisWalz2024,"I don’t hate Donald Trump because he’s a Republican. 

I hate Donald Trump because he’s a lying, racist, xenophobic, homophobic, transphobic, misogynistic, narcissistic steaming pile of sh*t! 

#VoteHarrisWalz2024 #TrumpIsUnfit",#VoteHarrisWalz2024💙🌊🇺🇲🇵🇷 like your LIVES depend on it!!!!!! End MAGA NOW..
Trump,#trumpcabinet,hashtag,13,You're hired! My #TrumpCabinet cartoon for @anonymous https://anonymous,You're hired! My #TrumpCabinet cartoon for @anonymous https://anonymous,"“Trump’s Cabinet picks spark major controversy: Tulsi Gabbard for DNI criticized for ties to adversaries, and Matt Gaetz as AG raises serious concerns over his legal history. Are these choices putting national security and justice at risk? #TrumpCabinet #NationalSecurity”"
Trump,#trumphitler,hashtag,13,#TrumpHitler,"Housing Market disaster 

Due to fear of Trump sabotage of democracy?

https://anonymous

#MangoWanker #Mobster #Traitor #Trumphitler #Musk #GOPtraitors #Trump #Putin #Vance #Epstein #Fascists #MAGA #Giuliani #Hitler #Murdoch #Project2025 #Greed #Reagan began the #CRIMINAL #GOP","Thom Hartmann - 
Possible swing state VOTE hack by MAGA

https://anonymous

#MangoWanker #Mobster #Traitor #Trumphitler #Musk #GOPtraitors #Trump #Putin #Vance #Epstein #Fascists #MAGA #Giuliani #Hitler #Murdoch #Project2025 #Greed #Reagan began the #CRIMINAL #GOP #TrumpGuilty #Rapistt #Fraud"
Trump,#saynototrumpsagenda,hashtag,12,Please contact your local representatives and let them know you want them to vote no on H.R.9495 to stop Trump from attacking dissenting organizations. #LetsGo #TogetherWeCanMakeADifference #Let’sDoThis #SayNoToTrumpsAgenda,Please contact your local representatives and let them know you want them to vote no on H.R.9495 to stop Trump from attacking dissenting organizations. #LetsGo #TogetherWeCanMakeADifference #Let’sDoThis #SayNoToTrumpsAgenda,Please contact your local representatives and let them know you want them to vote no on H.R.9495 to stop Trump from attacking dissenting organizations. #LetsGo #TogetherWeCanMakeADifference #Let’sDoThis #SayNoToTrumpsAgenda
Trump,#trumpcult,hashtag,12,"Itsacult 😵‍💫

#donaldtrump #itsacult #trumpsupporters #magacult #magats #trumpcult #trumpsamerica #republicans","It's the little things really that bring a smile to my face

😅😅😅😅

#donaldtrump #hilarious #trumprally #fafo #trumpsupporters #deplorables #magacult #trumpcult #karma",#Trump #TrumpCult #MAGA #MAGARepublicans #MAGACult #kakistocracy #TrumpVance #TrumpCabinet #Project2025 #DeathOfDemocracy #TrumpIsOutOnBail #TrumpIsACriminal #TrumpIsATraitor #TrumpIsUnfit
Trump,#trumpisnotmypresident,hashtag,12,"Good for her 👏🏼
#taxtherich #womensupportingwomen #trumpisnotmypresident",Well well well. #Trumpisnotmypresident #republicansaretheproblem #voteblue,Anyone can get a job there. Anyone #trumpisnotmypresident #voteblue #kamala
Harris,#bidenharris,hashtag,11,"I refuse to engage in any Biden-bashing & what he should & should not have done
#BidenHarris beat inflation, brought down gas prices, created millions of jobs, spurred strong growth, boosted retirement savings & revived American manufacturing & much more!
https://anonymous","Joe Biden is the greatest President of my lifetime. He saved us. 

PS Kamala Harris was the greatest candidate this country ever put forward.

#BidenHarris","Harris appears with Biden for first time since conceding election

yespunjab.com?p=59450

#VeteransDay #KamalaHarris #JoeBiden #ArlingtonNationalCemetery #USA #Harris #Biden #USElection2024  #USVeterans  #BidenHarris"
Harris,#votekamala,hashtag,11,"from claimingourvoices

Why should we vote for Kamala as Muslims? Kamala Harris stands for justice, equality, and the freedom to practice our faith. She fights against Islamophobia and supports our rights. Let’s make our voices heard. 

#MuslimsForKamala #VoteKamala #MNForKamala",This very good girl wants you to vote! #VoteKamala,"Liz Cheney
@anonymous 👏👏 #USA #Americans #Women

This is how dictators destroy free nations. They threaten those who speak against them with death. We cannot entrust our country and our freedom to a petty, vindictive, cruel, unstable man who wants to be a tyrant. #Womenwillnotbesilenced #VoteKamala"
Trump,#endtrumpera,hashtag,11,"#TrumpIsUNFIT  #EndtRumpEra  
Opinion: I'm voting for Kamala Harris. Trump will harm people I care about
Setting aside policy and qualifications and even personalities, ignoring entirely what I think Harris will do as president, I choose her for what she won't do
https://anonymous"," #TrumpIsUNFIT  #EndtRumpEra  #TurnThePage  #HarrisWalz2024  #DefendDemocracy #defeatproject2025 #VoteBlueAllTheWay   #DefendAMERICA 
Millions of Republicans Will Vote for Kamala Harris 
https://anonymous"," 2019 Ad Showing Kamala Harris as the 'Anti-Trump' Goes Viral 
#EndtRumpEra  #TurnThePage  #HarrisWalz2024  #DefendDemocracy #defeatproject2025 #VoteBlueAllTheWay  
https://anonymous"
Trump,#trumpadministration,hashtag,11,"Pete Hegseth, Trump’s Defense Secretary pick, accused of blocking a woman in a hotel room, taking her phone, and assaulting her despite repeated cries of “no.” A police report reveals chilling details. Is this leadership or liability? #PeteHegseth #TrumpAdministration","Donald Trump nominates former Rep. Pete Hoekstra as U.S. Ambassador to Canada. Known for his controversial comments on Islam and human rights, Hoekstra’s past raises questions about how he’ll represent U.S. values abroad. #PeteHoekstra #TrumpAdministration",Establishment MELTS DOWN over Tulsi Nomination! #TheJimmyDoreShow #DueDissidence #TulsiGabbard #TrumpAdministration
Trump,#trumpism,hashtag,11,#Election2024 #Politics #GOP #Republicans #Trump #MAGA #Democracy #Trumpism,#hate #maga #trumpism,#hate #maga #trumpism
Trump,#trumpslittlejohnson,hashtag,11,#TrumpsLittleJohnson,"Be a real shame if #TrumpsLittleJohnson started trending, wouldn't it?","Be a real shame if #TrumpsLittleJohnson started trending, wouldn't it?"
Trump,#trumptariffs,hashtag,11,"Not yet president and he’s saber rattling a trade war with our three biggest trading partners. Oh, and the caravans are back. 
#Trumptariffs","Not yet president and he’s saber rattling a trade war with our three biggest trading partners. Oh, and the caravans are back. 
#Trumptariffs",Next year let’s put these stickers all over the place. #TrumpTariffs
Trump,#trumptrain,hashtag,11,"Thoughts❓
#USElection2024 #USPresidentialElection2024 #POTUS #USAElection2024 #KamalaHarris #trump #maga #donaldtrump #usa #republican #conservative #america #biden #politics #makeamericagreatagain #trumptrain #memes #election #gop #joebiden #republicans #freedom #trumpmemes","Q: Fair or Forlorn❓
#USElection2024 #USPresidentialElection2024 #POTUS #USAElection2024 #KamalaHarris #trump #maga #donaldtrump #usa #republican #conservative #america #biden #politics #makeamericagreatagain #trumptrain #memes #election #gop #joebiden #republicans #freedom #trumpmemes","I think 🤔 the POPE ✝️ might disagree❓🤣
#USElection2024 #USPresidentialElection2024 #POTUS #USAElection2024 #KamalaHarris #trump #maga #donaldtrump #usa #republican #conservative #america #biden #politics #makeamericagreatagain #trumptrain #election #gop #joebiden #republicans #freedom #trumpmemes"
Trump,#trumpfascist,hashtag,10,"We'll soon see exactly how ruthless Trump and his cult is.  Perfect description of him and his beliefs.
#iblockmaga #democrat #trumpfascist","And yet, #Republicans on #LongIsland and upstate want to halt new #migrants 

https://anonymous #Trump #TrumpFascist #migration","#Evangelical ambassador this situation just got worse 

https://anonymous #mikehuckabee #IsraelHamaswar #israel #IsraelWarCrimes #palestinians #Trump #TrumpFascist"
Trump,#trumpforprison,hashtag,10,"To all the Trump-haters, whatever party you are, Republican, Democrat, or otherwise, THIS IMAGE POST IS DEDICATED TO YOU…
(I actually needed Twitter 
to quick-find these hash–
tags, by the way)
#NeverTrump #trumpisbadforus #TrumpisaNationalDisgrace #TrumpIsAnExistentialThreat #trumpforprison","Biden bashing gets a swift blockity block block 🚫. 

#trumpforprison","Biden bashing gets a swift blockity block block 🚫. 

#trumpforprison"
Trump,#trumpless,hashtag,10,"Happy Friday friends 👋

If you want to meet more more #NeverTrump friends drop a 💙
I random boost my followers when I see they participate following people to make this process work.

I will post a schedule later for our combined parties tonight so check back! 🎉

#Trumpless #signalBoost
Repost","Happy Thursday friends 👋
If you want to meet more #NeverTrump friends drop a 💙

I random boost for participating.
Have an awesome day!

#NoDemUnder1k
#BlueStormBoosts
#TrueBlueResisters
#Trumpless","Happy Wednesday friends 👋

If you are looking for more #NeverTrump friends, drop a 💙

I random boost my followers that participate.

Stay #Trumpless
#NoDemUnder5k
#BlueStormBoosts"
Trump,#trumpwon,hashtag,10,"#TrumpWon

If you’re looking for a no B.S. #Substack, I’ll be posting weekly about politics, sports, music, beer, whiskey & travel.

It damn sure won’t be a safe space for liberals, Leftists, Democrats or other weirdos.

Enjoy… #TrumpWon 🇺🇸💪

https://anonymous",#Maga #TrumpWon #awake #ncswic,#ncswic #wwg1wga #maga #Trumpwon
Harris,#kamala2028,hashtag,9,this woman should be our next president. i’m so ashamed and disgusted with our country💔💔💔 #kamala2028 #kamala #gay #fyp #bluecrew #nodemunder1k,this woman should be our next president. i’m so ashamed and disgusted with our country💔💔💔 #kamala2028 #kamala #gay #fyp #bluecrew #nodemunder1k,this woman should be our next president. i’m so ashamed and disgusted with our country💔💔💔 #kamala2028 #kamala #gay #fyp #bluecrew #nodemunder1k
Harris,#harris_walz2024,hashtag,8,"Yep, I’m with her (and Tim)!
#USDemocracy
#VoteBlue
#Harris_Walz2024","Ladies, you know what to do!
#Harris_Walz2024
#USDemocracy
#yourReligionisnotmyHealthcare","Your religion is not my healthcare!  Elect Kamala Nov 5th!#MindYourOwnDamnBusiness
#VoteBlue
#USDemocracy
#Harris_Walz2024"
Trump,#fuktrump,hashtag,8,Word. #fukMAGA #fukTRUMP,Woot Woot... GO JOE !!!!! #FUKtRUMP,"#blueunderground #resist #fucktrump #fuktrump
#deportmusk #fuckgop #resistance #democracy"
Trump,#ps1trumpism,hashtag,8,"Gaetz really, REALLY, doesn't want that ethics report to be published -

https://anonymous

#PS1trumpism","That was the Senate that was -

https://anonymous

Is that the Senate that will be?

#PS1trumpism","Trump was just kidding when he claimed he didn't know who was Project 2025 or what they were up to.

https://anonymous

#PS1trumpism"
Trump,#trumpsamerica,hashtag,8,"Itsacult 😵‍💫

#donaldtrump #itsacult #trumpsupporters #magacult #magats #trumpcult #trumpsamerica #republicans","The real trump wall

#donaldtrump #fraud #maga #trumpsamerica #enemyofthepeople #conman #grifter #unfit #fucktrump #worstpresidentever","https://anonymous

#TrumpsAmerica #Disgraceful"
Harris,#voteharriswalz,hashtag,7,"Happy Saturday! 🤣

#VoteHarrisWalz","If you are voting for Donald Trump don’t tell me you support the women in your life.

You do not. 

#VoteHarrisWalz #TrumpIsUnfit

https://anonymous","We need a laugh-then we get to work! 😂

#VoteHarrisWalz #TrumpIsUnfit"
Trump,#fuckdonaldtrump,hashtag,7,"#FuckDonaldTrump
#FuckTheGOP","#FuckDonaldTrump
#FuckTheGOP",We love you Joe!! #JoeBidenIsMyPresident #FuckDonaldTrump
Trump,#trumpgoverment,hashtag,7,"The Remake of Entourage is ass!

#ChrisWright #TrumpAdministration
#TrumpAppointments #TrumpGoverment #DOGE #Dogecoin #ElonMusk #VivekRamaswamy #PeteHegseth #KarolineLeavitt #MattGaetz #Trump #Entourage","The worst McDonald's Commercial, ever! 
#ChrisWright
#TrumpAppointments #TrumpGoverment #DOGE #Dogecoin #ElonMusk #Elonia #VivekRamaswamy #PeteHegseth #KarolineLeavitt #MattGaetz #Trump","And so it begins...

#TrumpAppointments #TrumpGoverment #DOGE #Dogecoin #ElonMusk #Elonia #VivekRamaswamy #PeteHegseth 
#MattGaetz"
Trump,#trumpgrabinet,hashtag,7,#TrumpGrabinet,#TrumpGrabinet,#TrumpGrabinet
Trump,#trumpisnotanoption,hashtag,7,"We must save our nation from MAGA!
#TrumpIsNotAnOption
 🍊💩🤡

@anonymous 	@anonymous
@anonymous	@anonymous
@anonymous	@anonymous
@anonymous	@anonymous","Vote him out so he can be convicted in ALL four trials!
#TrumpIsNotAnOption
@anonymous @anonymous @anonymous @anonymous @anonymous @anonymous @anonymous @anonymous @anonymous","Vote him out in November so he can be convicted in ALL four trials afterwards! 

#TrumpIsNotAnOption
 
@anonymous @anonymous
@anonymous @anonymous @anonymous @anonymous @anonymous @anonymous"
Trump,#trumpsupporters,hashtag,7,"Itsacult 😵‍💫

#donaldtrump #itsacult #trumpsupporters #magacult #magats #trumpcult #trumpsamerica #republicans","A resounding endorsement from his supporters 

#donaldtrump #taliban #putinspuppet #project2025 #russiancollusion #misogyny #magats #fascism #nazi #hitler #domesticterrorism #trumpsupporters #dictator #russianasset #republicans #convictedfelon #americantaliban #traitor #treason","It's the little things really that bring a smile to my face

😅😅😅😅

#donaldtrump #hilarious #trumprally #fafo #trumpsupporters #deplorables #magacult #trumpcult #karma"
Harris,#kamaladefendsdemocracy,hashtag,6,"#KamalaDefendsDemocracy 

Only one candidate has vowed to pass the John Lewis Voting Rights Advancement Act.  

Kamala Harris believes in freedom and democracy.  

Trump wants to kill it.  

Vote for Kamala.  She walks the walk.",Action Alert: Help Us Defend Kamala Harris From Online Attacks Right Now #KamalaDefendsDemocracy,Who else already voted for Kamala Harris? Or plans to? #KamalaDefendsDemocracy
Trump,#trumpcrimefamily,hashtag,6,"A member of the #TrumpCrimeFamily is now threatening Americans openly. 
That shouldn't be tolerated.
#Resist.","A member of the #TrumpCrimeFamily is now threatening Americans openly. 
That shouldn't be tolerated.
#Resist.","A member of the #TrumpCrimeFamily is now threatening Americans openly. 
That shouldn't be tolerated.
#Resist."
Trump,#trumpvance,hashtag,6,#Trump #TrumpCult #MAGA #MAGARepublicans #MAGACult #kakistocracy #TrumpVance #TrumpCabinet #Project2025 #DeathOfDemocracy #TrumpIsOutOnBail #TrumpIsACriminal #TrumpIsATraitor #TrumpIsUnfit,"MAGA: When the shit hits the fan and you & yours get spattered, remember that you chose The Fourth Reich over America because they hate who you hate.

#Trump #TrumpVance #TrumpCult #MAGACult #MAGARepublicans #USA #America #FakeChristians #misogynists #educationmatters #mentalhealthmatters",#Trump #TrumpVance #TrumpCult #MAGACult #MAGARepublicans #USA #America #FakeChristians #misogynists #educationmatters #mentalhealthmatters
Harris,#kamalaharris4president,hashtag,5,Just some of the reasons #KamalaHarris4President is going to win this thing!! 👇👇,"Why attacking #DonakdTrump ’s character has proven so ineffective - We will soon know whether his luck has finally run out. But what is already clear is that while he might have the veneer of moral character, he has precious little of the virtue https://anonymous via @anonymous #KamalaHarris4President","#NeverTrump
#KamalaHarris4President"
Harris,#teamkamala,hashtag,5,Staffers cheering for VP Kamala Harris as she arrives at White House after a hard fought campaign. #107Days #TeamKamala,Staffers cheering for VP Kamala Harris as she arrives at White House after a hard fought campaign. #107Days #TeamKamala,Staffers cheering for VP Kamala Harris as she arrives at White House after a hard fought campaign. #107Days #TeamKamala
Trump,#antitrump,hashtag,5,"I though at least one nominee wouldn’t be an accused sexual predator  https://anonymous

#ProudBlue #DemsUnited #antitrump #dumptrump #democrat #democrats #trumpsucks #resist #blacklivesmatter #gopsucks #trumpisajoke #republicanssuck #antigop","I though at least one nominee wouldn’t be an accused sexual predator  https://anonymous

#ProudBlue #DemsUnited #antitrump #dumptrump #democrat #democrats #trumpsucks #resist #blacklivesmatter #gopsucks #trumpisajoke #republicanssuck #antigop",#ProudBlue #DemsUnited #lgbtq #equaljusticeforall #decency #antitrump #dumptrump #democrat #democrats #trumpsucks #resist #blacklivesmatter #gopsucks #trumpisajoke #republicanssuck #antigop
Trump,#drozisatrumpcuck,hashtag,5,🙄 #DrOzIsATrumpCuck,🙄 #DrOzIsATrumpCuck,🙄 #DrOzIsATrumpCuck
Trump,#eloniatrump,hashtag,5,"@anonymous 
It’s important for First Lady #EloniaTrump to have a variety of outfits",#EloniaTrump,#EloniaTrump
Trump,#trumpdictatorship,hashtag,5,"Many of us search for the answers only AFTER we've fallen into a crisis. Therefore, I'm going to leave these links pinned to my profile for as long as our #FirstAmendment rights remain in place under the new #TrumpDictatorship. 
Still #NotMyPresident.

donnakassin.medium.com",📌 #Resistance #TrumpDictatorship #GoodTroubleMaker,📌 #Resistance #TrumpDictatorship #GoodTroubleMaker
Trump,#trumpfail,hashtag,5,"The dumpster fire has already begun.

#Phoenix2028
#TrumpFail

https://anonymous","“Trump’s idea of ‘education reform’? Appointing Linda McMahon, whose experience includes WWE drama and covering up scandals, to run the Dept of Education. Wrestling with the future of our kids shouldn’t be this literal. #EducationNotEntertainment #TrumpFail #Unqualified  #ProtectOurKids  #StopTrump”",This cabinet is a total #TrumpFail. REPOST 🔂 if you agree🆗
Trump,#trumpisacriminal,hashtag,5,"Rolling Stone magazine has it right.

#TrumpIsACriminal",How is it that he has and continues to get away with everything?! #Trumpisacriminal,"from Tarquin @anonymous 

Touché mutha fuckers! 

#TrumpIsACriminal #TrumpIsNotFitToBePresident #TrumpIsAnInsurrectionist #TrumpForPrison2024 
original image: Sandi Bachom"
Trump,#trumpisajoke,hashtag,5,"I though at least one nominee wouldn’t be an accused sexual predator  https://anonymous

#ProudBlue #DemsUnited #antitrump #dumptrump #democrat #democrats #trumpsucks #resist #blacklivesmatter #gopsucks #trumpisajoke #republicanssuck #antigop","I though at least one nominee wouldn’t be an accused sexual predator  https://anonymous

#ProudBlue #DemsUnited #antitrump #dumptrump #democrat #democrats #trumpsucks #resist #blacklivesmatter #gopsucks #trumpisajoke #republicanssuck #antigop",#ProudBlue #DemsUnited #lgbtq #equaljusticeforall #decency #antitrump #dumptrump #democrat #democrats #trumpsucks #resist #blacklivesmatter #gopsucks #trumpisajoke #republicanssuck #antigop
Trump,#trumpisarussianasset,hashtag,5,#trumpisarussianasset,He will destroy America this is a guarantee! #TrumpIsARussianAsset,#RussiaIsATerroristState #TrumpIsARussianAsset
Trump,#trumpisatraitor,hashtag,5,"It’s already happening!

#TrumpIsATraitor #TrumpIsAmericasHitler #VoteBlueToStopACriminalDictator","This is one of my besties spotlighting the craziness of Trump’s nomination to lead the DoD. 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️

You can’t make this shit up. 

@anonymous 

#GOPCorruption #TrumpIsATraitor",#Trump #TrumpCult #MAGA #MAGARepublicans #MAGACult #kakistocracy #TrumpVance #TrumpCabinet #Project2025 #DeathOfDemocracy #TrumpIsOutOnBail #TrumpIsACriminal #TrumpIsATraitor #TrumpIsUnfit
