target,label,phrase,rank,df_class,users_with_cue,matching_posts,distinct_post_texts,most_common_post_count,dominant_post_share
Trump,Against,nominating cabinet,15,130,130,130,1,130,1.0
Trump,Against,run agencies,16,130,130,130,1,130,1.0
Trump,Against,legacy media,17,105,105,107,7,92,0.8598130841121495
Trump,Against,adjudicated,18,104,104,104,41,45,0.4326923076923077
Trump,Against,echoing,19,96,96,96,5,92,0.9583333333333334
Trump,Against,obedience,20,96,96,96,5,92,0.9583333333333334
Trump,Against,the legacy,21,96,96,96,5,92,0.9583333333333334
Trump,Against,anticipatory,22,94,94,94,3,92,0.9787234042553191
Trump,Against,anticipatory obedience,23,93,93,93,2,92,0.989247311827957
Trump,Against,appreciates your,24,92,92,92,1,92,1.0
Trump,Against,are echoing,25,92,92,92,1,92,1.0
Trump,Neither,former florida,1,11,11,12,12,1,0.08333333333333333
Trump,Neither,adviser,2,13,13,13,13,1,0.07692307692307693
Trump,Neither,users,3,11,11,11,11,1,0.09090909090909091
Trump,Neither,the latest,4,16,16,17,17,1,0.058823529411764705
Trump,Neither,us president,5,12,12,16,16,1,0.0625
Trump,Neither,activist,6,10,10,10,10,1,0.1
Trump,Neither,shift,7,10,10,11,11,1,0.09090909090909091
Trump,Neither,ukrainian,8,12,12,14,14,1,0.07142857142857142
Trump,Neither,european,9,11,11,12,12,1,0.08333333333333333
Trump,Neither,sean,10,10,10,12,12,1,0.08333333333333333
Trump,Neither,minister,11,14,14,17,17,1,0.058823529411764705
Trump,Neither,europe,12,15,15,17,17,1,0.058823529411764705
Trump,Neither,hush,13,12,12,14,14,1,0.07142857142857142
Trump,Neither,hush money,14,12,12,14,14,1,0.07142857142857142
Trump,Neither,withdrawing,15,14,14,15,14,2,0.13333333333333333
Trump,Neither,withdrew,16,11,11,12,9,3,0.25
Trump,Neither,de,17,19,19,39,39,1,0.02564102564102564
Trump,Neither,but still,18,10,10,10,10,1,0.1
Trump,Neither,to share,19,11,11,11,11,1,0.09090909090909091
Trump,Neither,from consideration,20,13,13,15,12,3,0.2
Trump,Neither,friday,21,11,11,14,14,1,0.07142857142857142
Trump,Neither,uk,22,14,14,15,15,1,0.06666666666666667
Trump,Neither,reports,23,15,15,17,17,1,0.058823529411764705
Trump,Neither,florida,24,31,31,39,39,1,0.02564102564102564
Trump,Neither,return to,25,18,18,18,17,2,0.1111111111111111
