candidate,phrase,type,post_count,example_1,example_2,example_3
Trump,anti-trump,variant,116,"Anti-Trump protesters rally in U.S. cities. ""On Wednesday night, demonstrators took to the streets in Chicago, New York and Philadelphia to protest Trump’s win."" https://anonymous And D.C., Seattle, Pittsburgh, etc.",Kamala Harris ran a campaign that spent hundreds of millions of dollars courting anti-Trump Republicans. A group that is largely a figment of the Democrat’s imagination.,"My anti-Trump endorsement republished today at Ordinary Times:
ordinary-https://anonymous"
Harris,#harris,hashtag,86,"Wait, was Kamala going to have sex offenders and traffickers in her cabinet? Was she going to tariff goods to the point that companies would slash thousands of jobs and raise prices before she took office? 

She's supposed to be ""just as bad,"" right?

#Kamala #Harris #USA #Trump #RIPtoMyWallet #sad","CNN’s Kaitlin Collins: “With this speech and her earlier call conceding the race, #Harris is affording #Trump what he did not afford to the incoming Biden-Harris administration: a commitment to a peaceful transition of power and acknowledgment of a legitimate victory.”",""" #Kamala #Harris Goes BOSS: Calls #Trump THE F WORD!"" 

https://anonymous #harriswalz #kamalaharris #harriswalz2024 #voteblue #vote"
Trump,trumper,variant,73,"This extreme anti Trumper thinks we voted for Trump to keep the status quo. No motherfucker we voted for the fucking wrecking ball. Enough pillaging and stealing our natural treasure to enrich the UniParty. 

This applies to embezzlers from both sides.","Just had some idiot Trumper screaming at me about how a world without Dems would bring world peace, because yeah, Trump inciting violence, Trump's insurrection, threatening war crimes, and praising Hitler definitely shows the GOP is the party of peace.","Kamala getting near an Obama 08 level electoral performance would be so delicious for not just the Trumper tears but also the ""we need an open primary""/""she shoulda picked Shapiro""/""shes blowing it by not being anti-trans"" centrist crowd. how fucking great would that be to see them repudiated"
Trump,#nevertrump,hashtag,70,"Happy Friday friends 👋

If you want to meet more more #NeverTrump friends drop a 💙
I random boost my followers when I see they participate following people to make this process work.

I will post a schedule later for our combined parties tonight so check back! 🎉

#Trumpless #signalBoost
Repost","Happy Thursday friends 👋
If you want to meet more #NeverTrump friends drop a 💙

I random boost for participating.
Have an awesome day!

#NoDemUnder1k
#BlueStormBoosts
#TrueBlueResisters
#Trumpless",I don’t care if I’m wrong about everything forever it’s #nevertrump
Trump,#trump2024,hashtag,65,#Trump2024 #project25 #DOGE #Kamalawalz #Kamala #TamponTimmy #swifties4kamala #Gaysforpalestine #AOC #JDVance #JDVance2028 #DNC #Trans,#Trump2024 #project25 #DOGE #Kamalawalz #Kamala #TamponTimmy #swifties4kamala #Gaysforpalestine #AOC #JDVance #JDVance2028 #DNC #Trans,"📡⚡️ Trending on X:

Statement from Doug Emhoff about Kamala Harris. 

#MAGA #MAHA #Trump2024"
Harris,#harriswalz,hashtag,56,#HarrisWalz,There is only one sensible choice in this election and it is a vote to save democracy. I have already voted for #HarrisWalz and blue down ballot.,"#Kamala's CRUSHING It! What To Expect Across The Country Tonight

https://anonymous #harriswalz2024 #vote #electionday #election2024 #voteblue #harriswalz #trump"
Harris,#harris2024,hashtag,52,#Harris2024,"#Kamala #KamalaHarris #Harris-Walz #Harris2024 #Election2024 

I am woman, hear me roar.","#SNL #Harris2024 #Kamala #KamalaHarris #Election2024 

OMG OMG OMG"
Harris,biden-harris,variant,51,"The Biden-Harris administration continues to move further to the right, is refusing to increase protections before Trump takes office, and Harris, a VP with no power and nothing to lose, has said nothing about the genocide. 

When people show you who they are, believe them.","CNN’s Kaitlin Collins: “With this speech and her earlier call conceding the race, #Harris is affording #Trump what he did not afford to the incoming Biden-Harris administration: a commitment to a peaceful transition of power and acknowledgment of a legitimate victory.”",Another Black federal judge confirmed! Biden-Harris Admin is delivering til the very end! ✊🏾
Harris,#kamalaharris2024,hashtag,47,"We Will Not Go Back!
#KamalaHarris2024
@anonymous	@anonymous
@anonymous	@anonymous
@anonymous @anonymous	@anonymous
@anonymous	@anonymous
@anonymous","#KamalaHarris2024 
#VoteBlue2024ProtectWomensRights 
#VoteBlueDownTheBallot","We Will NOT Go Back!
#KamalaHarris2024
@anonymous	@anonymous
@anonymous	@anonymous
@anonymous	@anonymous
@anonymous	@anonymous
@anonymous"
Harris,harris-walz,variant,47,"Please repost and drop a 💙 if you’re here, you voted for Harris-Walz, and you’re ready to keep fighting for our values. 

I’ll follow as many of you back today as I can. ✌️","Kansas, Missouri, Nebraska Teamsters endorse Harris-Walz ticket | via Anna Kaminski #ksleg",Red-state Democratic legislators praise Harris-Walz ticket for invigorating voters https://anonymous
Trump,trumpflation,variant,47,TRUMPFLATION TARIFFS,TRUMPFLATION OUT OF CONTROL,Brace yourself for Trumpflation.
Trump,trumpy,variant,45,"Boris Epshteyn being accused of pay-to-play is very Trumpy…

https://anonymous","I mean, even RFK Jr. said at least Hitler had a policy. Trumpy is just a walking-talking hypocrite with dementia. The way he keeps changing his whole mind, our only worry may just be(yet again) that he could send out nukes any second.","Take your own advice.

Trumpy will take credit for the lowest inflation and best economy in the world.

Same way he did after inheriting Obama’s economy.

That’s what he does. He only inherits monetary gains but will always blow it. Look at his bankruptcies, business venture failures, et cetera."
Trump,trumpian,variant,44,"Hey! First post, post election after nauseating results.

Can't take Elon's ""Toxic Trumpian Twitter"" any longer and will need an outlet to vent for 4 more nightmare years.

Please follow and will follow back as many as I can!","Hey! First post, post election after nauseating results.

Can't take Elon's ""Toxic Trumpian Twitter"" any longer and will need an outlet to vent for 4 more nightmare years.

Please follow and will follow back as many as I can!","This whole trumpian thing is starting to remind me of the film 'Clockwork Orange""...no pun intended😜"
Harris,pro-kamala,variant,43,"An appalling development in our politics: Trump just attacked Harris with vile, overt unrestrained misogyny, and people now treat this as an ordinary occurrence.

On the pod, writer Susan Milligan and I dig into this failure. Also: The hidden pro-Kamala male vote!
https://anonymous",when you accidentally write the most pro-Kamala post of the election,when you accidentally write the most pro-Kamala post of the election
Trump,donalds,variant,40,"Byron Donalds Talks Economy, 2024, And If He’s Interested In Being Trump’s Running Mate If He’s The Nominee",Byron Donalds: Donald Trump is an alpha male. He absolutely is. No doubt about it. People like that.,"Ben Carson is said to have turned down leading HUD again to get HHS, which went to RFKJr. 

Are there still no black jobs in the in-coming Trump Administration? I’m on Black alert since Byron Donalds, Burgess Owens, and that football player had folks believing black ppl will be on top with Trump."
Trump,#resisttrump,hashtag,39,"Just the way any strongman around the world likes it, state run media has now come to America 👇

#ResistTrump",#Resistance #ResistTrump #AntiFA,#Resistance #ResistTrump #AntiFA
Trump,trumpists,variant,39,"And this, gentlefolk, is why we block Trumpists on sight.","And this, gentlefolk, is why we block Trumpists on sight.","And this, gentlefolk, is why we block Trumpists on sight."
Harris,harrison,variant,38,"NEW: Harrison Ford endorses Kamala Harris.

This is impactful, in part because it comes from someone without a long track record of endorsing candidates. 

“I’ve been voting for 64 years. Never really wanted to talk about it very much.”

(📽️Credit: CallToActivism via X)","NEW: Harrison Ford endorses Kamala Harris.

This is impactful, in part because it comes from someone without a long track record of endorsing candidates. 

“I’ve been voting for 64 years. Never really wanted to talk about it very much.”

(📽️Credit: CallToActivism via X)","NEW: Harrison Ford endorses Kamala Harris.

This is impactful, in part because it comes from someone without a long track record of endorsing candidates. 

“I’ve been voting for 64 years. Never really wanted to talk about it very much.”

(📽️Credit: CallToActivism via X)"
Trump,pro-trump,variant,37,"Wow, it's so clever and savvy when Republicans succeed in getting journalists to inject pro-Trump propaganda into the discourse! It's even more impressive when the Trump campaign finds ways to use this to their advantage!","Americans who actually read newspapers voted overwhelmingly for Harris though: the problem was all the pro-Trump trash on YouTube, Facebook and X.","Americans who actually read newspapers voted overwhelmingly for Harris though: the problem was all the pro-Trump trash on YouTube, Facebook and X."
Harris,#kamala2024,hashtag,32,"The voters deserve to see the split screen that exists in this race, on a debate stage, so I'm ready LET'S GO 
- #KamalaHarris
Wahhhhh - #DonaldTrump

Your Video: https://anonymous #kamala2024 #kamalaharris2024 #harris2024","This is art. The kinda rapid response, no holds-barred, messaging & mockery I've wanted/called for from Dem presidential campaigns forever. F'ING OUTSTANDING
#kamalaharris #kamala2024","Madam President 💙💙💙💙

#kamalaharris #yeswekam #kamalaharris2024 #hope #kamala47
#kamala2024 #madampresident #wearenotgoingback #timwalz #harriswalz2024 #election2024 #democratsdeliver #democracyontheballot #votebluenomatterwho #yourvotematters #democrats #vote2024"
Trump,mcdonalds,variant,32,"I would have to say I was undecided as a voter but after seeing him work for a bit earlier today at McDonalds and saying Kamala never worked there, I will be casting my ballot for Donald J Trump and JD Vance this November.","I would have to say I was undecided as a voter but after seeing him work for a bit earlier today at McDonalds and saying Kamala never worked there, I will be casting my ballot for Donald J Trump and JD Vance this November.","Boycott companies that donated to Trump. I am not spending a single $ there. Enough is enough

Some of those include
McDonalds
Chic-fil-a
Home depot
LL Bean
Taco Bell

https://anonymous"
Trump,#traitortrump,hashtag,29,#TraitorTrump,#TraitorTrump,#TraitorTrump
Trump,#trumpisunfit,hashtag,26,"If you are voting for Donald Trump don’t tell me you support the women in your life.

You do not. 

#VoteHarrisWalz #TrumpIsUnfit

https://anonymous","We need a laugh-then we get to work! 😂

#VoteHarrisWalz #TrumpIsUnfit","I don’t hate Donald Trump because he’s a Republican. 

I hate Donald Trump because he’s a lying, racist, xenophobic, homophobic, transphobic, misogynistic, narcissistic steaming pile of sh*t! 

#VoteHarrisWalz2024 #TrumpIsUnfit"
Trump,#trumpcheated,hashtag,23,"Someone did a “make it a quote” with my response to Joe Biden inviting Donald Trump to the White House, so that’s kind of handy #TrumpCheated","SAY IT WITH US 

#TrumpCheated","#TrumpCheated

Get this...
In PA, Harris got 70%+ of the EARLY Latino vote...
but the election day vote shows her getting half that.
This thing reeks like a rotten fish in the hot sun."
Trump,#dumptrump,hashtag,22,#Resist #DumpTrump #FAFO,#FAFO #AdamMockler #DumpTrump #,#Resist #DumpTrump #FAFO
Harris,#harris-walz,hashtag,21,"#Kamala #KamalaHarris #Harris-Walz #Harris2024 #Election2024 

I am woman, hear me roar.",#Kamala #KamalaHarris #Harris-Walz #Harris2024 #Election2024 #Law #Crime #Immunity #Trump,#Polling #Kamala #KamalaHarris #Harris-Walz #Harris2024 #Election2024
Trump,#trumpisunfitforoffice,hashtag,21,"I'm 63 years old, and will never forgive Trump & Republicans from taking this country from the ""greatest generation"" to the ""shameless generation.""
#ProudBlue Thanks Trump #TrumpIsUnfitForOffice #TheTurdReich #DoNotObeyInAdvance #ResistTrump",#TrumpIsUnfitForOffice,#TrumpIsUnfitForOffice
Trump,#trumpsucks,hashtag,20,"This right here…
#trumpsucks",MORE TRUE TODAY THAN EVER! #TRUMPSUCKS,MORE TRUE TODAY THAN EVER! #TRUMPSUCKS
Trump,trumpist,variant,19,"I am a real antifa. I have put my life in danger, to stop violents intolerants. 

But still, I can see the difference between a real hater and someone who vote Trumpist, and now die in regrets and shame.

Know why you fight",We need to start busting out a haka in the face of Trumpist legislation,"Okey doke. Buzz me from the Trumpist concentration camps. I’ll do whatever I can for you, friend."
Trump,trumpster,variant,19,"Enjoying my holiday mug, but do you think it could trigger a Trumpster? God forbid … Although I’m not sure I believe in God anyway these days …",Red neck ties say trumpster and Soviet to me. I hate red ties.,"Only we can save ourselves from this Trumpster fire! 🚒🔥
@anonymous @anonymous
@anonymous @anonymous @anonymous @anonymous @anonymous  @anonymous 
@anonymous VOTE! VOTE! VOTE!"
Trump,#trumpappointments,hashtag,16,"You ENDORSED the ""Trump Train"" @anonymous
What did you think would happen, you fascist-supporting MFers, except CHAOS?
Rupert Murdoch's ""buyer's remorse"" is too late.
There's much worse to come than @anonymous

#TrumpAppointments #RFKJr

https://anonymous","The Remake of Entourage is ass!

#ChrisWright #TrumpAdministration
#TrumpAppointments #TrumpGoverment #DOGE #Dogecoin #ElonMusk #VivekRamaswamy #PeteHegseth #KarolineLeavitt #MattGaetz #Trump #Entourage","The worst McDonald's Commercial, ever! 
#ChrisWright
#TrumpAppointments #TrumpGoverment #DOGE #Dogecoin #ElonMusk #Elonia #VivekRamaswamy #PeteHegseth #KarolineLeavitt #MattGaetz #Trump"
Harris,#bidenharris2024,hashtag,15,"Thats right, MAGA fvckas! #BidenHarris2024 🇺🇸","Thank God President Biden is in charge of the nuclear launch codes. 
The other guy would try to sell them!
#BidenHarris2024","HelloHello Bluesky!
#VoteBlueToSaveDemocracy 
#BidenHarris2024
#GOPHasGotToGo"
Harris,#voteharriswalz2024,hashtag,13,Happy Birthday VP Kamala Harris! #VoteHarrisWalz2024,"I don’t hate Donald Trump because he’s a Republican. 

I hate Donald Trump because he’s a lying, racist, xenophobic, homophobic, transphobic, misogynistic, narcissistic steaming pile of sh*t! 

#VoteHarrisWalz2024 #TrumpIsUnfit",#VoteHarrisWalz2024💙🌊🇺🇲🇵🇷 like your LIVES depend on it!!!!!! End MAGA NOW..
Trump,#trumpcabinet,hashtag,13,You're hired! My #TrumpCabinet cartoon for @anonymous https://anonymous,You're hired! My #TrumpCabinet cartoon for @anonymous https://anonymous,"“Trump’s Cabinet picks spark major controversy: Tulsi Gabbard for DNI criticized for ties to adversaries, and Matt Gaetz as AG raises serious concerns over his legal history. Are these choices putting national security and justice at risk? #TrumpCabinet #NationalSecurity”"
Trump,#trumphitler,hashtag,13,#TrumpHitler,"Housing Market disaster 

Due to fear of Trump sabotage of democracy?

https://anonymous

#MangoWanker #Mobster #Traitor #Trumphitler #Musk #GOPtraitors #Trump #Putin #Vance #Epstein #Fascists #MAGA #Giuliani #Hitler #Murdoch #Project2025 #Greed #Reagan began the #CRIMINAL #GOP","Thom Hartmann - 
Possible swing state VOTE hack by MAGA

https://anonymous

#MangoWanker #Mobster #Traitor #Trumphitler #Musk #GOPtraitors #Trump #Putin #Vance #Epstein #Fascists #MAGA #Giuliani #Hitler #Murdoch #Project2025 #Greed #Reagan began the #CRIMINAL #GOP #TrumpGuilty #Rapistt #Fraud"
Harris,kamalahq,variant,12,You know what I really miss? KamalaHQ on my TikTok. 😢😢😭,"Here's yet another reason to vote your butts off for #Harris.

Via KamalaHQ:

Steve #Bannon: Laura Loomer is going to be White House Communications Director if #Trump wins","ICYMI, here's Kamala Harris's reaction to seeing her first Michigan ""I VOTED"" sticker (via KamalaHQ)"
Trump,#saynototrumpsagenda,hashtag,12,Please contact your local representatives and let them know you want them to vote no on H.R.9495 to stop Trump from attacking dissenting organizations. #LetsGo #TogetherWeCanMakeADifference #Let’sDoThis #SayNoToTrumpsAgenda,Please contact your local representatives and let them know you want them to vote no on H.R.9495 to stop Trump from attacking dissenting organizations. #LetsGo #TogetherWeCanMakeADifference #Let’sDoThis #SayNoToTrumpsAgenda,Please contact your local representatives and let them know you want them to vote no on H.R.9495 to stop Trump from attacking dissenting organizations. #LetsGo #TogetherWeCanMakeADifference #Let’sDoThis #SayNoToTrumpsAgenda
Trump,#trumpcult,hashtag,12,"Itsacult 😵‍💫

#donaldtrump #itsacult #trumpsupporters #magacult #magats #trumpcult #trumpsamerica #republicans","It's the little things really that bring a smile to my face

😅😅😅😅

#donaldtrump #hilarious #trumprally #fafo #trumpsupporters #deplorables #magacult #trumpcult #karma",#Trump #TrumpCult #MAGA #MAGARepublicans #MAGACult #kakistocracy #TrumpVance #TrumpCabinet #Project2025 #DeathOfDemocracy #TrumpIsOutOnBail #TrumpIsACriminal #TrumpIsATraitor #TrumpIsUnfit
Trump,#trumpisnotmypresident,hashtag,12,"Good for her 👏🏼
#taxtherich #womensupportingwomen #trumpisnotmypresident",Well well well. #Trumpisnotmypresident #republicansaretheproblem #voteblue,Anyone can get a job there. Anyone #trumpisnotmypresident #voteblue #kamala
Trump,trump-musk,variant,12,The Trump-Musk Administration.  https://anonymous,"NEW: The great Trump-Musk crackdown is coming. And it will hit hard & fast. Journalists will be first. But everyone else is next. 

I urge you to read my 20 lessons in How to Survive the Broligarchy, inspired by & featuring the great @anonymous 
1/
https://anonymous","I have to say: I’m rooting for the Trump-Musk relationship to collapse—and soon—before the appalling right-wing billionaire Musk begins savaging our government, convinced that he knows better."
Trump,trumpworld,variant,12,Trumpworld and MAGA 2.0 - https://anonymous,"Elissa Slotkin on Trumpworld's talk of purging generals: ""We're really at risk of politicizing the military in a way that we can't put the genie back in the bottle.""","Think about how great our country could have been with Kamala at the helm, how high we could have risen - and then think about why the people voted instead to sink us into the disgusting, backward muck of Trumpworld"
Harris,#bidenharris,hashtag,11,"I refuse to engage in any Biden-bashing & what he should & should not have done
#BidenHarris beat inflation, brought down gas prices, created millions of jobs, spurred strong growth, boosted retirement savings & revived American manufacturing & much more!
https://anonymous","Joe Biden is the greatest President of my lifetime. He saved us. 

PS Kamala Harris was the greatest candidate this country ever put forward.

#BidenHarris","Harris appears with Biden for first time since conceding election

yespunjab.com?p=59450

#VeteransDay #KamalaHarris #JoeBiden #ArlingtonNationalCemetery #USA #Harris #Biden #USElection2024  #USVeterans  #BidenHarris"
Harris,#votekamala,hashtag,11,"from claimingourvoices

Why should we vote for Kamala as Muslims? Kamala Harris stands for justice, equality, and the freedom to practice our faith. She fights against Islamophobia and supports our rights. Let’s make our voices heard. 

#MuslimsForKamala #VoteKamala #MNForKamala",This very good girl wants you to vote! #VoteKamala,"Liz Cheney
@anonymous 👏👏 #USA #Americans #Women

This is how dictators destroy free nations. They threaten those who speak against them with death. We cannot entrust our country and our freedom to a petty, vindictive, cruel, unstable man who wants to be a tyrant. #Womenwillnotbesilenced #VoteKamala"
Trump,#endtrumpera,hashtag,11,"#TrumpIsUNFIT  #EndtRumpEra  
Opinion: I'm voting for Kamala Harris. Trump will harm people I care about
Setting aside policy and qualifications and even personalities, ignoring entirely what I think Harris will do as president, I choose her for what she won't do
https://anonymous"," #TrumpIsUNFIT  #EndtRumpEra  #TurnThePage  #HarrisWalz2024  #DefendDemocracy #defeatproject2025 #VoteBlueAllTheWay   #DefendAMERICA 
Millions of Republicans Will Vote for Kamala Harris 
https://anonymous"," 2019 Ad Showing Kamala Harris as the 'Anti-Trump' Goes Viral 
#EndtRumpEra  #TurnThePage  #HarrisWalz2024  #DefendDemocracy #defeatproject2025 #VoteBlueAllTheWay  
https://anonymous"
Trump,#trumpadministration,hashtag,11,"Pete Hegseth, Trump’s Defense Secretary pick, accused of blocking a woman in a hotel room, taking her phone, and assaulting her despite repeated cries of “no.” A police report reveals chilling details. Is this leadership or liability? #PeteHegseth #TrumpAdministration","Donald Trump nominates former Rep. Pete Hoekstra as U.S. Ambassador to Canada. Known for his controversial comments on Islam and human rights, Hoekstra’s past raises questions about how he’ll represent U.S. values abroad. #PeteHoekstra #TrumpAdministration",Establishment MELTS DOWN over Tulsi Nomination! #TheJimmyDoreShow #DueDissidence #TulsiGabbard #TrumpAdministration
Trump,#trumpism,hashtag,11,#Election2024 #Politics #GOP #Republicans #Trump #MAGA #Democracy #Trumpism,#hate #maga #trumpism,#hate #maga #trumpism
Trump,#trumpslittlejohnson,hashtag,11,#TrumpsLittleJohnson,"Be a real shame if #TrumpsLittleJohnson started trending, wouldn't it?","Be a real shame if #TrumpsLittleJohnson started trending, wouldn't it?"
Trump,#trumptariffs,hashtag,11,"Not yet president and he’s saber rattling a trade war with our three biggest trading partners. Oh, and the caravans are back. 
#Trumptariffs","Not yet president and he’s saber rattling a trade war with our three biggest trading partners. Oh, and the caravans are back. 
#Trumptariffs",Next year let’s put these stickers all over the place. #TrumpTariffs
Trump,#trumptrain,hashtag,11,"Thoughts❓
#USElection2024 #USPresidentialElection2024 #POTUS #USAElection2024 #KamalaHarris #trump #maga #donaldtrump #usa #republican #conservative #america #biden #politics #makeamericagreatagain #trumptrain #memes #election #gop #joebiden #republicans #freedom #trumpmemes","Q: Fair or Forlorn❓
#USElection2024 #USPresidentialElection2024 #POTUS #USAElection2024 #KamalaHarris #trump #maga #donaldtrump #usa #republican #conservative #america #biden #politics #makeamericagreatagain #trumptrain #memes #election #gop #joebiden #republicans #freedom #trumpmemes","I think 🤔 the POPE ✝️ might disagree❓🤣
#USElection2024 #USPresidentialElection2024 #POTUS #USAElection2024 #KamalaHarris #trump #maga #donaldtrump #usa #republican #conservative #america #biden #politics #makeamericagreatagain #trumptrain #election #gop #joebiden #republicans #freedom #trumpmemes"
Trump,trumpie,variant,11,"The 74 million who voted for #Trump did NOT surprise as much as the TEN MILLION WHO FAILED to vote for Harris and the Dems as they did in 2020.
Those who voted FOR the #GOP have no right to complain when they get fucked over by the Trumpie. Neither does anyone who was able, but refused to vote....","The 74 million who voted for #Trump did NOT surprise as much as the TEN MILLION WHO FAILED to vote for Harris and the Dems as they did in 2020.
Those who voted FOR the #GOP have no right to complain when they get fucked over by the Trumpie. Neither does anyone who was able, but refused to vote....",I believe that in spite of the corruption going on by trumpie and his people that there is a lot of behind the scenes capabilities happening. I won’t give up hoping for the good.
Harris,anti-harris,variant,10,I just saw my first anti-Harris campaign ad while watching Matlock (on a delay via my DVR) and I couldn't hit fast forward fast enough.,"The pro- and anti-Harris cases 
https://anonymous
https://anonymous","Saw another apparently anti-Harris sign near me. This one simply said “Kamalama Ding Dong/Walznuts.” I understand on an intellectual level that it is meant to be an insult, but I cannot comprehend the brain that sees it as clever."
Trump,#trumpfascist,hashtag,10,"We'll soon see exactly how ruthless Trump and his cult is.  Perfect description of him and his beliefs.
#iblockmaga #democrat #trumpfascist","And yet, #Republicans on #LongIsland and upstate want to halt new #migrants 

https://anonymous #Trump #TrumpFascist #migration","#Evangelical ambassador this situation just got worse 

https://anonymous #mikehuckabee #IsraelHamaswar #israel #IsraelWarCrimes #palestinians #Trump #TrumpFascist"
Trump,#trumpforprison,hashtag,10,"To all the Trump-haters, whatever party you are, Republican, Democrat, or otherwise, THIS IMAGE POST IS DEDICATED TO YOU…
(I actually needed Twitter 
to quick-find these hash–
tags, by the way)
#NeverTrump #trumpisbadforus #TrumpisaNationalDisgrace #TrumpIsAnExistentialThreat #trumpforprison","Biden bashing gets a swift blockity block block 🚫. 

#trumpforprison","Biden bashing gets a swift blockity block block 🚫. 

#trumpforprison"
