candidate,phrase,type,post_count,example_1,example_2,example_3
Harris,pro-kamala,variant,43,"An appalling development in our politics: Trump just attacked Harris with vile, overt unrestrained misogyny, and people now treat this as an ordinary occurrence.

On the pod, writer Susan Milligan and I dig into this failure. Also: The hidden pro-Kamala male vote!
https://anonymous",when you accidentally write the most pro-Kamala post of the election,when you accidentally write the most pro-Kamala post of the election
Trump,donalds,variant,40,"Byron Donalds Talks Economy, 2024, And If He’s Interested In Being Trump’s Running Mate If He’s The Nominee",Byron Donalds: Donald Trump is an alpha male. He absolutely is. No doubt about it. People like that.,"Ben Carson is said to have turned down leading HUD again to get HHS, which went to RFKJr. 

Are there still no black jobs in the in-coming Trump Administration? I’m on Black alert since Byron Donalds, Burgess Owens, and that football player had folks believing black ppl will be on top with Trump."
Trump,trumpists,variant,39,"And this, gentlefolk, is why we block Trumpists on sight.","And this, gentlefolk, is why we block Trumpists on sight.","And this, gentlefolk, is why we block Trumpists on sight."
Harris,harrison,variant,38,"NEW: Harrison Ford endorses Kamala Harris.

This is impactful, in part because it comes from someone without a long track record of endorsing candidates. 

“I’ve been voting for 64 years. Never really wanted to talk about it very much.”

(📽️Credit: CallToActivism via X)","NEW: Harrison Ford endorses Kamala Harris.

This is impactful, in part because it comes from someone without a long track record of endorsing candidates. 

“I’ve been voting for 64 years. Never really wanted to talk about it very much.”

(📽️Credit: CallToActivism via X)","NEW: Harrison Ford endorses Kamala Harris.

This is impactful, in part because it comes from someone without a long track record of endorsing candidates. 

“I’ve been voting for 64 years. Never really wanted to talk about it very much.”

(📽️Credit: CallToActivism via X)"
Trump,pro-trump,variant,37,"Wow, it's so clever and savvy when Republicans succeed in getting journalists to inject pro-Trump propaganda into the discourse! It's even more impressive when the Trump campaign finds ways to use this to their advantage!","Americans who actually read newspapers voted overwhelmingly for Harris though: the problem was all the pro-Trump trash on YouTube, Facebook and X.","Americans who actually read newspapers voted overwhelmingly for Harris though: the problem was all the pro-Trump trash on YouTube, Facebook and X."
Trump,mcdonalds,variant,32,"I would have to say I was undecided as a voter but after seeing him work for a bit earlier today at McDonalds and saying Kamala never worked there, I will be casting my ballot for Donald J Trump and JD Vance this November.","I would have to say I was undecided as a voter but after seeing him work for a bit earlier today at McDonalds and saying Kamala never worked there, I will be casting my ballot for Donald J Trump and JD Vance this November.","Boycott companies that donated to Trump. I am not spending a single $ there. Enough is enough

Some of those include
McDonalds
Chic-fil-a
Home depot
LL Bean
Taco Bell

https://anonymous"
Trump,trumpist,variant,19,"I am a real antifa. I have put my life in danger, to stop violents intolerants. 

But still, I can see the difference between a real hater and someone who vote Trumpist, and now die in regrets and shame.

Know why you fight",We need to start busting out a haka in the face of Trumpist legislation,"Okey doke. Buzz me from the Trumpist concentration camps. I’ll do whatever I can for you, friend."
Trump,trumpster,variant,19,"Enjoying my holiday mug, but do you think it could trigger a Trumpster? God forbid … Although I’m not sure I believe in God anyway these days …",Red neck ties say trumpster and Soviet to me. I hate red ties.,"Only we can save ourselves from this Trumpster fire! 🚒🔥
@anonymous @anonymous
@anonymous @anonymous @anonymous @anonymous @anonymous  @anonymous 
@anonymous VOTE! VOTE! VOTE!"
Harris,kamalahq,variant,12,You know what I really miss? KamalaHQ on my TikTok. 😢😢😭,"Here's yet another reason to vote your butts off for #Harris.

Via KamalaHQ:

Steve #Bannon: Laura Loomer is going to be White House Communications Director if #Trump wins","ICYMI, here's Kamala Harris's reaction to seeing her first Michigan ""I VOTED"" sticker (via KamalaHQ)"
Trump,trump-musk,variant,12,The Trump-Musk Administration.  https://anonymous,"NEW: The great Trump-Musk crackdown is coming. And it will hit hard & fast. Journalists will be first. But everyone else is next. 

I urge you to read my 20 lessons in How to Survive the Broligarchy, inspired by & featuring the great @anonymous 
1/
https://anonymous","I have to say: I’m rooting for the Trump-Musk relationship to collapse—and soon—before the appalling right-wing billionaire Musk begins savaging our government, convinced that he knows better."
Trump,trumpworld,variant,12,Trumpworld and MAGA 2.0 - https://anonymous,"Elissa Slotkin on Trumpworld's talk of purging generals: ""We're really at risk of politicizing the military in a way that we can't put the genie back in the bottle.""","Think about how great our country could have been with Kamala at the helm, how high we could have risen - and then think about why the people voted instead to sink us into the disgusting, backward muck of Trumpworld"
Trump,trumpie,variant,11,"The 74 million who voted for #Trump did NOT surprise as much as the TEN MILLION WHO FAILED to vote for Harris and the Dems as they did in 2020.
Those who voted FOR the #GOP have no right to complain when they get fucked over by the Trumpie. Neither does anyone who was able, but refused to vote....","The 74 million who voted for #Trump did NOT surprise as much as the TEN MILLION WHO FAILED to vote for Harris and the Dems as they did in 2020.
Those who voted FOR the #GOP have no right to complain when they get fucked over by the Trumpie. Neither does anyone who was able, but refused to vote....",I believe that in spite of the corruption going on by trumpie and his people that there is a lot of behind the scenes capabilities happening. I won’t give up hoping for the good.
Harris,anti-harris,variant,10,I just saw my first anti-Harris campaign ad while watching Matlock (on a delay via my DVR) and I couldn't hit fast forward fast enough.,"The pro- and anti-Harris cases 
https://anonymous
https://anonymous","Saw another apparently anti-Harris sign near me. This one simply said “Kamalama Ding Dong/Walznuts.” I understand on an intellectual level that it is meant to be an insult, but I cannot comprehend the brain that sees it as clever."
Trump,never-trumpers,variant,10,I’m beginning to have second thoughts about #Bluesky. Same problem that X has only from other side of the political spectrum. MAGA nuts spoil X but Never-Trumpers or Muskers on Bluesky are equally intolerant. Cancel culture runs rampant. Room for middle of the road platform.,I’m beginning to have second thoughts about #Bluesky. Same problem that X has only from other side of the political spectrum. MAGA nuts spoil X but Never-Trumpers or Muskers on Bluesky are equally intolerant. Cancel culture runs rampant. Room for middle of the road platform.,"For the record, I blocked the accounts Joe Walsh, Adam Kinzinger, & Republicans Against Trumpism.

I will block any & all currently registered openly public Republicans & “Never-Trumpers.”
No exceptions."
Harris,kamalaharris,variant,9,Do your part to help elect Kamala Harris: Calls.KamalaHarris.com,"Hey all #blueresisters
#democracy
#bluedots
#kamalaharris
Kamala Harris has a fight fund. Please support this and spread the word. 

kamalaharris.com","Feeling very hopeful about VP Kamala Harris’s prospects after spending the day door knocking in Downingtown, Pennsylvania. The #harriswalz2024 campaign in PA is super-organized and energized. Please get involved! go.kamalaharris.com #DoSomething"
Trump,donoldtrump,variant,8,"DonoldTrump I truly fukkkin hate u, you’re a soulless piece of shitty garbage bastard who cheated and bought this election!","DonoldTrump I truly fukkkin hate u, you’re a soulless piece of shitty garbage bastard who cheated and bought this election!","DonoldTrump I truly fukkkin hate u, you’re a soulless piece of shitty garbage bastard who cheated and bought this election!"
Trump,ex-trump,variant,8,'I Could Use A Good Laugh!' CNN's Jim Acosta Calls 'BS' On Ex-Trump Aide Still Saying Trump Not Connected To Project 2025 https://anonymous,"Ex-Trump Voter Supports Harris
https://anonymous","Ex-Trump Voter Supports Harris
https://anonymous"
Trump,trump-voting,variant,8,"I can't get over the Trump-voting friend of mine who begged me not to check out of the political fight, saying my voice is needed to help check the worst of MAGA's impulses. 

He doesn't realise how insulting that actually is. And that astounds me","Talked to my Trump-voting dad and he assured me that Trump wasn't really going to do the things he promised he would do, so good news I guess. 😬",I’ve been told by my Trump-voting friends and family that I should be more gracious and congratulate the president-elect. So allow me to congratulate President-elect Fuckface von MicroPenis and wish him nothing but diarrhea and declining health until he crawls into the ground and becomes a skeleton.
Trump,trumpsters,variant,8,"Giving a big 'eff you' to all the Trumpsters who 'invested'....

https://anonymous",Trumpsters?,Some Trumpsters Miss Universe comments
Trump,-trump,variant,7,Tom Homan -Trump’s border czar -makes my skin crawl.,Tom Homan -Trump’s border czar -makes my skin crawl.,Kamala up with white COLLEGE EDUCATED voters tells you all you need to know.. “I love the poorly educated” -Trump
Trump,trump-supporting,variant,7,"A little prophecy from a Trump-supporting member of Congress.

#trump #uspol #politics",Yet another violent Trump-supporting teenage boy. https://anonymous,"I've let two Trump-supporting relatives know about the racist ""comedian"" Trump chose to open his rally today, saying I hope if they're considering voting for him that they've seen his latest rallies and how boldly hateful they are."
Trump,trumpf,variant,7,So Jonald Donald Trumpf is going to break his OWN agreement with our neighbors based on shit that ain’t happening by people who ain’t doing it. Makes sense. Full vid on IG.,"Is everyone enjoying how elite we all feel being a part of the Bluesky club! 

We are all kind(to each other, not the rubes) educated and enlightened unlike those poors over on twitter who voted for tRumpf.

We need to double down on this fact and then we'll start winning again!","Is everyone enjoying how elite we all feel being a part of the Bluesky club! 

We are all kind(to each other, not the rubes) educated and enlightened unlike those poors over on twitter who voted for tRumpf.

We need to double down on this fact and then we'll start winning again!"
Harris,pro-harris,variant,6,"CHANGE IS NEEDED!!!....
KAMALA HARRIS 2024!!!🇺🇸

Sam Elliott in pro-Harris ad: ‘Are we really going back down that same f‑‑‑ing broken road?’ #Presidentialelection
https://anonymous",Getting huge pro-Harris vibes from both Mastodon and here.,Critics say the pro-Harris Future Forward PAC didn’t share enough with allies and waited too long to spend its huge war chest
Trump,donaldtrump,variant,6,"I have read that DonaldTrump's mother was not here legally when he was born, if true I vote for him to be the first person deported. Problem solved, if we can find a country which would take him.","I have read that DonaldTrump's mother was not here legally when he was born, if true I vote for him to be the first person deported. Problem solved, if we can find a country which would take him.","Sexual predators stick together. 

#MattGaetz/DonaldTrump"
Trump,erictrump952789,variant,6,"A FIFTY FOUR OLD CONSERVATIVE DUDE AT THE GOLF COURSE WAS BRAGGING HOW  ERIC TRUMP LIKED HIS tweet®️ & HE WAS GIDDY LIKE A SCHOOLKID UNTIL I LOOKED & HAD TO TELL HIM IT WAS ERICTRUMP952789. 
These people vote.","A FIFTY FOUR OLD CONSERVATIVE DUDE AT THE GOLF COURSE WAS BRAGGING HOW  ERIC TRUMP LIKED HIS tweet®️ & HE WAS GIDDY LIKE A SCHOOLKID UNTIL I LOOKED & HAD TO TELL HIM IT WAS ERICTRUMP952789. 
These people vote.","A FIFTY FOUR OLD CONSERVATIVE DUDE AT THE GOLF COURSE WAS BRAGGING HOW  ERIC TRUMP LIKED HIS tweet®️ & HE WAS GIDDY LIKE A SCHOOLKID UNTIL I LOOKED & HAD TO TELL HIM IT WAS ERICTRUMP952789. 
These people vote."
Trump,trump-vance,variant,6,The Trump-Vance campaign would be great if not for Trump and Vance,Beware the Academics Bolstering the Fascist Violence of Trump-Vance https://anonymous,"The big difference from the Biden-Harris policies and what’s ahead will Trump-Vance is explored in today’s HCR Letter. 

https://anonymous"
Trump,trumpet,variant,6,"I just blocked my first Trumpet that came here looking for me. 

No interaction on my part. Just a block.",I refuse to let myself succumb to hate…but I hate Trumpet. Like A LOT.,I refuse to let myself succumb to hate…but I hate Trumpet. Like A LOT.
Harris,kamalas,variant,5,"Seriously, these people are money hungry cry babies that shot themselves in the foot by sabotaging Kamalas electoral prospects and they want me to give em MONEY?!

I have no sympathy for them, if they wanted a chance to save themselves they should've voted Kamala but instead they enabled Trump.","Seriously, these people are money hungry cry babies that shot themselves in the foot by sabotaging Kamalas electoral prospects and they want me to give em MONEY?!

I have no sympathy for them, if they wanted a chance to save themselves they should've voted Kamala but instead they enabled Trump.","I was so looking forward to not knowing or caring who was in Kamalas cabinet. To just trust that she picked responsible and responsible people,but  here we are and I have to know who they are and what they plan on doing so we can protect ourselves"
Trump,trump-loving,variant,5,"Feeling particularly hopeless today. #trump announcing nominees, elected #Democrats are congratulating fascists on their wins, Dem leadership has no spine for a forensic recount in swing states, and my trump-loving company does not share my values.","Feeling particularly hopeless today. #trump announcing nominees, elected #Democrats are congratulating fascists on their wins, Dem leadership has no spine for a forensic recount in swing states, and my trump-loving company does not share my values.","The man whose name constitutes two euphemisms for penis (Woody and Johnson) seems bereft of one. Firing Saleh and Douglass was so last year. Sell the fucking club, you Trump-loving moron."
Trump,trumped,variant,5,Alberta oil is about to get Trumped https://anonymous,"You mean the greatest president we ever had? The innocent man with trumped up bullshit charges, which all got dropped and dismissed","You mean the greatest president we ever had? The innocent man with trumped up bullshit charges, which all got dropped and dismissed"
Trump,trumping,variant,5,Trumping Israel? No way! - https://anonymous,Trumping Israel? No way! - https://anonymous,"Newsom is right! Ron DeSantis’s whole campaign has been a bad Donald Trump impression. Ron is also terrible at out Trumping, Trump."
Trump,trumplicans,variant,5,Make no judiciary deals. The Trumplicans don’t deserve any deference or respect.,My new account.  I'm seeking a refuge from the crazy 'Trumplicans' invading 'Threads.'  I'm a political Independent and rabidly anti-Trump.,My new account.  I'm seeking a refuge from the crazy 'Trumplicans' invading 'Threads.'  I'm a political Independent and rabidly anti-Trump.
Trump,trumpresistancemovement,variant,5,"trumpresistancemovement
It is sick.","
trumpresistancemovement
Historian Timothy Snyder, on Elon Musk's role in the election:","trumpresistancemovement
It is sick."
Trump,trumptard,variant,5,You voted for a convicted felon rapist. You're the stupid one. Fucking trumptard.,"I know i said i wouldnt post screenshots from twitter, but this HAD to be shared.  Trumptard is off his ROCKER","Trumptard has been making videos and planning his attack against 'murica.  Hiring a dog killer is appropriate for Homeland Security, no? 

I can not even fathom the evil that's going to happen to our country over the next four years. still have to look at his face, listen to his blatherings. #sad"
Trump,trumptards,variant,5,"i guess maybe we shouldnt look at trumptards noms as gloom and doom yet
dont they have to  be 'voted in'

id rather they have to be like the gladiators. they have to slay a lion or maybe run over hot coals or be a teacher in a high school for a year or get in a cage with a komodo dragon for a day","Way to go Trumptards, way to go !!
FAFO.
LMFAO.","Way to go Trumptards, way to go !!
FAFO.
LMFAO."
Harris,-kamala,variant,4,"""I took on perpetrators of all kinds.. predators who abused women, fraudsters who ripped off consumers, cheaters who broke the rules for their own gain.  So, hear me when I say: I know Donald Trump’s type.""-Kamala Harris

Him and his cabinet picks fit in one or all of these.","""I took on perpetrators of all kinds.. predators who abused women, fraudsters who ripped off consumers, cheaters who broke the rules for their own gain.  So, hear me when I say: I know Donald Trump’s type.""-Kamala Harris

Him and his cabinet picks fit in one or all of these.","“Only when it is truly dark enough can you see the stars.” -Kamala Harris

One of the greatest quotes in history."
Harris,anti-kamala,variant,4,"Anecdotal, but I have talked to a few of my lefty friends who are posting a lot of anti-Kamala/complaining about vote shaming stuff and most of them seem to be voting Kamala. Idk wtf the thinking is there, but it is what it is.","There's an anti-Kamala narrative going on at the moment, embroidering stories around the Dems loss to prove it's all been her fault. And it's really giving me the irrits.","Things you can do to #resist a Trump presidency: 

21. Avoid infighting among liberals. United we stand, divided we fall (we were reminded of that the hard way with the anti-Kamala Palestine protestors, and now a super-anti-Palestine President is coming in.)"
Trump,bondi-trump,variant,4,Editorial: Feds should investigate Bondi-Trump connection https://anonymous,Editorial: Feds should investigate Bondi-Trump connection https://anonymous,Editorial: Feds should investigate Bondi-Trump connection https://anonymous
Trump,musk-trump,variant,4,#FLOTUS Elonia Musk-Trump. Congratulations Madame First Lady! #Trump2024 🤣🤣🤣,“A former Amazon executive told Fortune this week that he believed it was the Musk-Trump combo that frightened Jeff Bezos into dumping the Washington Post’s endorsement of Kamala Harris—a moment all-too-akin to a prosperous merchant bowing down to a violent mob boss.”,Democrats flee X for Bluesky amid Musk-Trump alliance https://anonymous
Trump,never-trump,variant,4,"I got an 8% increase in followers today and I want to say...I hope you enjoy my general reply-guyishness as I mostly check in on Legal Twitter, never-Trump Republicans, and chat with middle-aged fathers.","I got an 8% increase in followers today and I want to say...I hope you enjoy my general reply-guyishness as I mostly check in on Legal Twitter, never-Trump Republicans, and chat with middle-aged fathers.","Obscured by the teams, but the Bernie left agreed with the popularists & the SuperPac that Harris should focus on her own economic policy proposals. They all disagreed with the campaign, resistance liberals, & never-Trump Reps, who wanted to focus on Trump & democracy."
Trump,trump-free,variant,4,Please have a trump-free happy weekend! ☺️,I wish there was a Trump-Free internet.,I wish there was a Trump-Free internet.
Trump,trumpa,variant,4,"Part of me is looking forward to the day when, somewhere in Alabama, when church lets put, these trump voters see one of their congregants run down by ICE and they explode...trumpa approval is going to be at 10%","Part of me is looking forward to the day when, somewhere in Alabama, when church lets put, these trump voters see one of their congregants run down by ICE and they explode...trumpa approval is going to be at 10%","Trumpovi kandidáti a nominanti dostali vyhrážky bombou a prepadnutím – Svet – Správy

https://anonymous

Viacero nominantov a kandidátov Donalda Trumpa na posty v jeho nastupujúcej administratíve dostalo v uplynulých hodinách vyhrážky bombou…"
Trump,trumpanzees,variant,4,"I am blocking the stupid Trumpanzees who know nothing but pretend to know everything. God, life must be hard when you are Dunning Kruger stupid.","I am blocking the stupid Trumpanzees who know nothing but pretend to know everything. God, life must be hard when you are Dunning Kruger stupid.",Enjoy tHe EkOnuMbY Trumpanzees!
Trump,trumpists--and,variant,4,"Oh, Lord, on Morning Joe Mika reads an entire noxious Dowd column aloud: anti-identity, anti-trans, anti-woke, anti-campus, which in the end is a defense of Trumpists--and their identify politics, aka racism. But we can't say that.","Oh, Lord, on Morning Joe Mika reads an entire noxious Dowd column aloud: anti-identity, anti-trans, anti-woke, anti-campus, which in the end is a defense of Trumpists--and their identify politics, aka racism. But we can't say that.","Oh, Lord, on Morning Joe Mika reads an entire noxious Dowd column aloud: anti-identity, anti-trans, anti-woke, anti-campus, which in the end is a defense of Trumpists--and their identify politics, aka racism. But we can't say that."
Trump,trumpsgiving,variant,4,Happy Trumpsgiving 😎,HAPPY TRUMPSGIVING FRENS 😎,Happy Trumpsgiving 😎
Harris,kamalawalz2024,variant,3,"H.HALLOWEEN
KamalaWalz2024
🇺🇲🌊💙🎃",If you value WomansRightsToChoose 💅🏾💪🏾 Vote  KamalaWalz2024 🇺🇲🌊💙🇵🇷🇺🇦🇪🇭🌿🤲🏿,If you value WomansRightsToChoose 💅🏾💪🏾 Vote  KamalaWalz2024 🇺🇲🌊💙🇵🇷🇺🇦🇪🇭🌿🤲🏿
Harris,non-harris,variant,3,Say hello to small pox. RFK will usher in a new outbreak. Republicans and non-Harris voters get any and all blame laid at their feet.,"Democracy dies with ignorance; freedom dies with apathy.  

I have been disappointed by non-Harris voters & non-voters alike this election.","The impulse to tell non-Harris voters “you got what you wanted” is so vile to me
And it’s something I see white women doing more than anybody else
Please go clean up your own house instead of screaming at Muslims
you wanna start somewhere? 53%. start there."
Trump,--trump,variant,3,"""Oh no! How could I ever have foreseen this would be a ridiculous shitshow?""--Trump voters/Jake Paul-Mike Tyson ticket buyers","""Oh no! How could I ever have foreseen this would be a ridiculous shitshow?""--Trump voters/Jake Paul-Mike Tyson ticket buyers",Good talk with Bernie Sanders --Trump Plots MAGA Military Purge with Fox News Host in Charge https://anonymous
Trump,-donald,variant,3,"""All the best people.""
-Donald Trump","“Sometimes very bad decisions are made. They’re not made from an evil standpoint.”

-Donald Trump, excusing the MURDER of Sonya Massey","The 3 people most desperate for Trump to win are:
-Vladimir Putin 
-Elon Musk
-Donald Trump
There is a reason for this."
Trump,1trump,variant,3,"""Less than two weeks after Muslims in Dearborn and beyond voted for Donald Trump saying him and Biden/Harris were the same on Palestine so why not, Trump tells Israeli officials he will release holds on all offensive weapons including 2,000 pound bombs that Biden was blocking on Day 1Trump""","Blocked!
1trump.bsky.social
@anonymous","Blocked!
1trump.bsky.social
@anonymous"
Trump,anti-anti-trumpers,variant,3,"True or false? If, sometime in 2024, you had told anti-anti-Trumpers that Trump would make Gaetz attorney general, Gabbard national-intelligence director, RFK Jr. HHS secretary, etc., they would have shaken their head and said, sadly, ""You suffer from Trump Derangement Syndrome.""","True or false? If, sometime in 2024, you had told anti-anti-Trumpers that Trump would make Gaetz attorney general, Gabbard national-intelligence director, RFK Jr. HHS secretary, etc., they would have shaken their head and said, sadly, ""You suffer from Trump Derangement Syndrome.""","True or false? If, sometime in 2024, you had told anti-anti-Trumpers that Trump would make Gaetz attorney general, Gabbard national-intelligence director, RFK Jr. HHS secretary, etc., they would have shaken their head and said, sadly, ""You suffer from Trump Derangement Syndrome."""
Trump,donaldson,variant,3,"As a human marked as female/feminine, I would never support a misogynistic rapist, aka Trump; how Donaldson supports a racist I'll never understand.
https://anonymous",I hope S.A. Donaldson III arrives soon. His voice is important.,"Donald Trump gives Byron Donaldson, some type of cabinet appointment."
Trump,macdonalds,variant,3,Also notice that Mikey didn’t rate a seat at the  MacDonalds!,Also notice that Mikey didn’t rate a seat at the  MacDonalds!,I wonder in MacDonalds appreciates all the free publicity that Trump gives them. You could not buy it otherwise
Trump,obama-trump-biden,variant,3,I feel like Alcibiades is the prototype of the Obama-Trump-Biden voter,I feel like Alcibiades is the prototype of the Obama-Trump-Biden voter,I feel like Alcibiades is the prototype of the Obama-Trump-Biden voter
Trump,pre-trump,variant,3,"From Heather Cox Richardson's morning Letters from an American: None of Trump’s Cabinet nominees would have been anything but laughable in the pre-Trump era when, for example, Democratic cabinet nominations were sunk for a failure to pay employment taxes for a nanny, or for a donor-provided car.","From Heather Cox Richardson's morning Letters from an American: None of Trump’s Cabinet nominees would have been anything but laughable in the pre-Trump era when, for example, Democratic cabinet nominations were sunk for a failure to pay employment taxes for a nanny, or for a donor-provided car.","Pre-Trump conviction

Biden in the best person to be President

Post-Trump conviction

Biden is the best person to be President"
Trump,retrumplican,variant,3,"I’d like to know where I can get a refund on the time I spent on alert, waiting to take off and bomb the same nation that now owns the Retrumplican Party.","I’d like to know where I can get a refund on the time I spent on alert, waiting to take off and bomb the same nation that now owns the Retrumplican Party.","Holy Retrumplican Rats, Batman !!"
